end,start,title,longitude,latitude
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,APPRENDRE, RESSENTIR, SE SOUVENIR,-73.63585,45.48922
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,UNE LUTTE HÉROÏQUE, UN HÉRITAGE CIVIQUE,-73.15996,45.78504
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LES SOEURS DE SAINT-JOSEPH DE SAINT-HYACINTHE, HIER ET AUJOURD'HUI,-72.95193,45.62325
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ART CONTEMPORAIN INTERNATIONAL,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LE FORT-CHAMBLY AU TEMPS DES FRANÇAIS,-73.27296,45.44877
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,VIVRE L'AVENTURE FERROVIAIRE AU CANADA,-73.56468,45.37535
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,EXPLORER LA NOUVELLE-FRANCE SOUS LE RÉGIME SEIGNEURIAL : L'APPORT DES SEIGNEURESSES DE CHÂTEAUGUAY,-73.74773 ,45.36180
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,CARGO,-73.55316,45.49948
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,UN MOULIN AU FIL DE L’EAU,-73.89584,45.55823
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,L'AFFAIRE FOSSILE,-73.5483779907,45.5590209961
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,D'OMBRE ET DE POÉSIE,-73.55599,45.47594
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,À CŒUR DE JOUR! GRANDEURS ET MISÈRES D’UN QUARTIER POPULAIRE ,-73.56361,45.52045
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LA RÉBELLION DE 1837 DANS LE COMTÉ DES DEUX-MONTAGNES,-73.89584,45.55823
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,SIGNÉ MONTRÉAL,-73.55420,45.50305
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,MONTRÉAL - POINTS DE VUE,-73.57378,45.50467
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,OEUVRES D'ART INUIT ET D'ART DES PREMIÈRES NATIONS DE 1900 À NOS JOURS,-73.58050,45.49766
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,PORTER SON IDENTITÉ. LA COLLECTION PREMIERS PEUPLES,-73.57378,45.50467
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,PAR LES FENÊTRES DE L'ÉCOLE...COUPS D'OEIL SUR NOTRE HISTOIRE,74.02729,
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LES FOURMIS ATTA,-73.55448,45.55895
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,FOUILLES 100 % PUBLIQUES : LE DÉVOILEMENT DES DÉCOUVERTES,-73.966194,45.315506
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,DES EMPREINTES PLUS GRANDES QUE NATURE,-73.966194,45.315506
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LE JARDIN DU GOUVERNEUR,-73.55330,45.50876
2100-01-01T00:00:00.000-0500,1970-01-01T00:00:00.000-0500,DE L'EAU... À LA BOUCHE,-73.18815,45.54907
2100-01-01T00:00:00.000-0500,1970-01-01T00:00:00.000-0500,LA MAISON DES TRESTLER,-74.0077056885,45.3883
2100-01-01T00:00:00.000-0500,1970-01-01T00:00:00.000-0500,DU CORNET AU DISQUE DUR : HISTOIRE DES STUDIOS D'ENREGISTREMENT À MONTRÉAL,-73.56262,45.51382
2100-01-01T00:00:00.000-0500,1970-01-01T00:00:00.000-0500,LA MAISON LEPAILLEUR DE CHÂTEAUGUAY, MAISON BICENTENAIRE,-73.74773 ,45.36180
2100-01-01T00:00:00.000-0500,1970-01-01T00:00:00.000-0500,EXPOSITION PERMANENTE DU MUSÉE REDPATH,-73.57563,45.50284
